3	1	1	0	0	1	0	1	1
4	1	2	0	0	1	1	1	1
4	2	1	1	0	0	1	1	1
5	2	2	0	0	0	0	1	1
6	2	3	0	0	0	0	1	1
7	2	4	0	0	1	0	1	1
8	2	5	0	0	0	0	1	1
6	3	2	1	1	0	0	1	0
7	3	3	1	1	0	0	1	1
8	3	4	0	0	0	0	1	1
9	3	5	0	0	1	0	1	1
10	3	6	0	0	0	0	1	1
7	4	2	0	0	0	0	1	1
8	4	3	0	0	0	0	1	1
9	4	4	1	1	0	1	1	1
10	4	5	0	0	1	0	1	1
9	5	3	0	0	0	0	1	1
10	5	4	1	1	0	1	1	1
11	5	5	0	1	0	1	1	1
12	5	6	1	0	1	0	1	1
12	6	5	1	1	0	1	1	1
13	6	6	1	1	0	1	1	1
14	6	7	0	0	0	0	1	1
14	7	6	1	0	0	0	1	1
15	7	7	0	0	0	1	1	1
16	7	8	0	0	1	0	1	0
16	8	7	1	1	0	1	1	1
18	8	9	1	0	0	0	1	0
27	13	13	1	0	0	0	1	0
28	13	14  0	0	1	0	1	0
28	14	13	0	1	0	0	1	0
32	16	15	1	0	0	0	1	0
40	19	20	0	0	0	0	2	0
48	19	28	0	0	0	0	2	0
40	20	19	1	0	0	0	1	0
51	23	27	0	1	0	0	1	0
52	23	28	0	0	1	0	1	0
56	26	29	0	1	0	0	1	0
89	39	49	0	1	0	0	1	0
139	57	81	0	1	0	0	1	0
208	81	126	0	0	0	0	2	0
208	82	125	0	1	0	0	1	0
209	83	125	1	0	0	0	1	0
